Store Name,Wine Name,Harvest Year,Capacity,Price,Currency,Date of Scraping,Location,Discount
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1952,0.5,5.114,Dong,1/25/2023,USA,False
Supermercado El Corte Ingles,Mateus Rosé Original,1992,0.5,3.5864,Rial,9/27/2023,Brazil,False
GarrafeiraSoares,Mateus Sparkling Rosé,1989,0.75,9.3245,Sol,10/11/2023,USA,True
GarrafeiraSoares,Mateus Rosé Original,2011,0.75,7.742000000000001,Yuan Renminbi,7/1/2023,Portugal,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1920,1.0,6.5514,Yuan Renminbi,10/27/2022,USA,True
Continente Online,Mateus Rosé Original,1903,0.75,0.40380000000000005,Lev,12/24/2022,Portugal,False
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1912,0.5,2.6066000000000003,Peso,3/28/2023,USA,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,2004,0.75,0.5654,Lempira,10/28/2022,USA,True
Supermercado El Corte Ingles,Mateus Rosé Original,1907,0.75,9.429400000000001,Euro,6/5/2023,USA,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1974,0.5,6.117999999999999,Real,3/18/2023,USA,True
Continente Online,Mateus Rosé Original,1932,0.5,8.4223,Yuan Renminbi,7/17/2023,Portugal,False
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1968,0.5,9.521799999999999,Peso,3/1/2023,USA,False
Supermercado El Corte Ingles,Mateus Rosé Original,1943,0.5,4.1517,Yen,7/28/2023,Brazil,False
Supermercado El Corte Ingles,Mateus Rosé Original,2005,1.0,3.115,Yuan Renminbi,8/17/2023,Portugal,True
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1993,0.5,2.9386,Euro,6/26/2023,Brazil,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1958,1.0,9.4877,Peso,4/9/2023,Brazil,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1907,0.75,7.4558,Yuan Renminbi,5/1/2023,Portugal,True
Supermercado El Corte Ingles,Mateus Rosé Original,1928,0.5,4.1392,Yuan Renminbi,6/9/2023,USA,True
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,2008,0.5,3.7937,Yuan Renminbi,7/12/2023,USA,False
GarrafeiraSoares,Mateus Rosé Original,1947,0.75,9.9306,Krona,12/8/2022,Portugal,True
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1948,1.0,8.4866,Yen,3/1/2023,Portugal,True
Continente Online,Casa Ferreirinha Papa Figos Branco,1998,0.75,6.0241999999999996,Zloty,5/17/2023,Portugal,True
Continente Online,Mateus Sparkling Rosé,1960,1.0,7.6275,Dollar,7/27/2023,Portugal,True
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1925,1.0,3.5759,Peso,1/4/2023,Portugal,False
Continente Online,Casa Ferreirinha Papa Figos Branco,2000,0.5,1.1405,Lev,5/29/2023,Brazil,False
GarrafeiraSoares,Mateus Rosé Original,1945,0.75,0.9658,Dinar,7/11/2023,Brazil,True
Supermercado El Corte Ingles,Mateus Rosé Original,1998,0.5,8.521,Sol,7/14/2023,USA,True
Continente Online,Casa Ferreirinha Papa Figos Branco,1959,0.75,3.3973,Rupiah,2/20/2023,USA,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1976,0.5,1.4606999999999999,Ruble,4/15/2023,Brazil,False
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1933,0.5,2.9960000000000004,Won,2/25/2023,USA,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1982,1.0,3.9362,Rupiah,9/2/2023,Brazil,False
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1930,1.0,3.2769999999999997,Rial,7/27/2023,Portugal,False
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1913,0.75,5.799099999999999,Yuan Renminbi,3/14/2023,Brazil,False
GarrafeiraSoares,Mateus Rosé Original,1949,1.0,0.3833,Yuan Renminbi,6/22/2023,USA,False
Supermercado El Corte Ingles,Mateus Rosé Original,1918,0.5,9.6461,Rupiah,12/21/2022,Brazil,False
Continente Online,Casa Ferreirinha Papa Figos Branco,1968,0.75,3.4043,Won,1/10/2023,Portugal,True
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1931,0.5,6.5873,Yuan Renminbi,9/15/2023,Portugal,True
Continente Online,Mateus Sparkling Rosé,2016,0.75,0.6129,Real,9/19/2023,Brazil,True
GarrafeiraSoares,Mateus Sparkling Rosé,1971,1.0,3.6399,Kuna,10/13/2023,Brazil,True
GarrafeiraSoares,Mateus Sparkling Rosé,1913,0.5,9.2296,Dollar,5/18/2023,Portugal,False
Continente Online,Casa Ferreirinha Papa Figos Branco,1920,0.5,5.1611,Peso,12/9/2022,Portugal,False
Continente Online,Casa Ferreirinha Papa Figos Branco,1991,0.5,9.280700000000001,Real,4/27/2023,Brazil,False
Continente Online,Mateus Rosé Original,1948,0.5,0.6246,Yuan Renminbi,2/18/2023,Brazil,True
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1906,0.75,2.9849,Lev,6/4/2023,Brazil,False
Continente Online,Casa Ferreirinha Papa Figos Branco,1920,0.75,3.5619,Yen,10/30/2022,Brazil,False
Supermercado El Corte Ingles,Mateus Rosé Original,1950,1.0,3.8523,Rupiah,4/4/2023,USA,False
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1938,1.0,9.5945,Sol,8/15/2023,Brazil,False
GarrafeiraSoares,Mateus Rosé Original,1975,1.0,1.9162000000000001,Guarani,12/30/2022,Portugal,True
GarrafeiraSoares,Mateus Rosé Original,1928,0.75,8.1025,Dollar,12/14/2022,Brazil,False
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1913,0.75,9.0736,Yuan Renminbi,12/12/2022,Portugal,True
GarrafeiraSoares,Mateus Sparkling Rosé,1945,0.5,4.3145,Real,7/13/2023,Portugal,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,2010,1.0,8.4627,Peso,10/8/2023,Portugal,False
Continente Online,Mateus Rosé Original,1912,0.75,5.9636000000000005,Ringgit,6/18/2023,Portugal,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1948,0.75,0.5054,Rupiah,8/18/2023,USA,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1926,0.75,7.4047,Lev,10/30/2022,USA,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1962,1.0,3.4507999999999996,Dollar,6/27/2023,Portugal,True
GarrafeiraSoares,Mateus Rosé Original,1974,0.5,3.6658999999999997,Rupiah,3/10/2023,Portugal,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1995,1.0,6.763,Shekel,6/19/2023,USA,True
GarrafeiraSoares,Mateus Rosé Original,1918,0.5,2.0834,Yuan Renminbi,6/14/2023,Brazil,False
Supermercado El Corte Ingles,Mateus Rosé Original,1919,0.5,0.456,Ruble,4/21/2023,USA,True
Continente Online,Mateus Rosé Original,1956,0.75,3.7462999999999997,Euro,2/25/2023,Brazil,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1930,0.5,7.1374,Yuan Renminbi,2/20/2023,USA,True
Continente Online,Mateus Rosé Original,1953,0.5,3.7763,Lev,5/9/2023,Brazil,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1928,1.0,9.0106,Sol,4/10/2023,Portugal,False
Continente Online,Mateus Sparkling Rosé,1906,1.0,7.596900000000001,Peso,12/10/2022,Brazil,False
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1950,0.75,2.1277,Peso,8/23/2023,Portugal,True
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1913,0.75,0.0674,Yuan Renminbi,10/31/2022,Portugal,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1953,1.0,9.2223,Yuan Renminbi,8/21/2023,Portugal,True
GarrafeiraSoares,Mateus Sparkling Rosé,1947,0.75,3.6233,Dram,6/19/2023,Portugal,True
Continente Online,Mateus Rosé Original,2000,1.0,5.1578,Yuan Renminbi,11/2/2022,USA,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1997,0.5,5.8252999999999995,Krona,11/4/2022,Portugal,False
Continente Online,Mateus Sparkling Rosé,1985,0.5,9.5983,Yuan Renminbi,10/5/2023,Portugal,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1910,0.75,3.8878,Euro,9/4/2023,USA,False
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1989,0.5,4.603899999999999,Peso,3/30/2023,USA,False
Supermercado El Corte Ingles,Mateus Sparkling Rosé,2016,0.5,2.4368,Koruna,6/13/2023,Brazil,False
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1959,0.5,2.0277000000000003,Yuan Renminbi,11/17/2022,Brazil,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1955,0.75,8.6888,Peso,5/8/2023,Portugal,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,2011,0.75,7.9148000000000005,Ringgit,3/11/2023,Portugal,True
Supermercado El Corte Ingles,Mateus Rosé Original,1987,1.0,9.6702,Zloty,4/12/2023,Portugal,False
Continente Online,Mateus Rosé Original,2018,0.75,1.8100999999999998,Real,11/21/2022,Brazil,False
Continente Online,Mateus Sparkling Rosé,2003,0.75,4.3378,Baht,4/19/2023,USA,True
Supermercado El Corte Ingles,Mateus Rosé Original,1937,0.5,5.5746,Ruble,7/16/2023,Portugal,False
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1905,0.5,0.012,Yuan Renminbi,9/26/2023,USA,True
Continente Online,Casa Ferreirinha Papa Figos Branco,1972,0.75,9.899099999999999,Bolivar,1/13/2023,Portugal,True
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1953,0.5,9.6843,Rupee,8/23/2023,Brazil,True
Continente Online,Mateus Rosé Original,1971,0.75,7.0373,Franc,2/5/2023,Portugal,False
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,2002,1.0,6.276,Dollar,5/12/2023,Portugal,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1946,1.0,1.4247,Yuan Renminbi,5/16/2023,Portugal,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1979,0.75,4.0177,Peso,10/31/2022,USA,True
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,2022,0.75,2.803,Rupiah,8/12/2023,Brazil,False
GarrafeiraSoares,Mateus Sparkling Rosé,2020,0.5,0.4205,Rupiah,10/3/2023,USA,True
Continente Online,Mateus Sparkling Rosé,1970,1.0,3.2664,Yuan Renminbi,8/30/2023,Brazil,True
Continente Online,Mateus Sparkling Rosé,1977,1.0,8.048300000000001,Franc,1/21/2023,Portugal,False
GarrafeiraSoares,Mateus Rosé Original,1979,0.75,9.5794,Rupiah,5/24/2023,Portugal,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1918,0.5,5.747000000000001,Euro,4/20/2023,Portugal,True
Continente Online,Mateus Sparkling Rosé,1963,0.75,7.0728,Krona,1/31/2023,Brazil,True
Continente Online,Casa Ferreirinha Papa Figos Branco,1911,1.0,3.7811000000000003,Afghani,3/31/2023,Brazil,False
Supermercado El Corte Ingles,Mateus Rosé Original,1931,1.0,3.6238,Peso,7/10/2023,Portugal,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1902,0.75,9.382200000000001,Rupiah,9/2/2023,USA,True
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1954,1.0,0.6364,Rupiah,12/14/2022,Brazil,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1969,0.75,1.1606,Real,11/14/2022,Portugal,True
Continente Online,Mateus Rosé Original,1907,0.75,5.5588999999999995,Yuan Renminbi,11/17/2022,USA,True
Continente Online,Mateus Sparkling Rosé,1902,1.0,7.5181,Yuan Renminbi,4/4/2023,Portugal,False
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1985,0.75,4.6521,Rial,2/25/2023,Brazil,True
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1996,1.0,4.867,Ruble,4/27/2023,Brazil,False
GarrafeiraSoares,Mateus Sparkling Rosé,1980,1.0,9.8277,Rupiah,9/6/2023,USA,False
Continente Online,Mateus Sparkling Rosé,2008,1.0,2.0268,Shilling,7/27/2023,USA,False
GarrafeiraSoares,Mateus Sparkling Rosé,1944,0.75,9.2059,Pound,10/25/2022,Brazil,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1952,1.0,9.8868,Afghani,2/16/2023,Brazil,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,2022,0.5,2.3017,Yuan Renminbi,4/24/2023,Brazil,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1904,0.5,1.851,Peso,10/1/2023,USA,False
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1984,1.0,1.5272999999999999,Dong,2/24/2023,Portugal,True
GarrafeiraSoares,Mateus Sparkling Rosé,1927,0.5,6.242000000000001,Colon,10/23/2022,Portugal,False
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1910,0.75,6.0854,Sol,12/2/2022,Portugal,False
Supermercado El Corte Ingles,Mateus Rosé Original,1956,0.75,2.8285,Franc,4/8/2023,Portugal,True
GarrafeiraSoares,Mateus Rosé Original,1910,0.75,9.6692,Yuan Renminbi,9/13/2023,Brazil,True
Continente Online,Mateus Rosé Original,1907,1.0,3.0668,Ringgit,7/8/2023,Portugal,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1925,0.75,3.6609,Yuan Renminbi,4/20/2023,Brazil,False
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1916,1.0,8.410499999999999,Som,4/25/2023,Brazil,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1922,0.5,7.3899,Sol,8/15/2023,USA,False
GarrafeiraSoares,Mateus Sparkling Rosé,1955,0.75,7.0092,Yuan Renminbi,11/26/2022,Brazil,False
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1947,0.5,3.0888,Koruna,6/11/2023,Portugal,True
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1990,1.0,9.500599999999999,Ruble,4/17/2023,USA,False
GarrafeiraSoares,Mateus Sparkling Rosé,1995,0.5,6.4824,Ruble,2/13/2023,Brazil,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1965,0.75,3.6601,Ruble,12/2/2022,USA,False
Continente Online,Casa Ferreirinha Papa Figos Branco,1983,0.5,6.2215,Gourde,6/27/2023,USA,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1961,0.5,0.7837999999999999,Won,9/27/2023,USA,True
Supermercado El Corte Ingles,Mateus Rosé Original,1900,0.75,0.7033,Yuan Renminbi,6/7/2023,Brazil,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,2020,1.0,0.9823000000000001,Rand,4/2/2023,Portugal,True
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,2014,0.75,6.693,Ruble,4/21/2023,Portugal,False
Continente Online,Mateus Rosé Original,1936,0.5,1.3391,Dollar,6/22/2023,Portugal,False
Continente Online,Mateus Rosé Original,1934,0.75,0.9345,Zloty,9/9/2023,USA,True
GarrafeiraSoares,Mateus Rosé Original,2005,0.75,5.7923,Zloty,8/29/2023,USA,True
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1949,0.75,5.7286,Yuan Renminbi,8/6/2023,Portugal,True
GarrafeiraSoares,Mateus Rosé Original,1995,1.0,1.1494,Real,9/3/2023,Portugal,False
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,2009,0.5,2.423,Franc,11/5/2022,Portugal,False
GarrafeiraSoares,Mateus Rosé Original,1938,1.0,1.6962000000000002,Euro,2/3/2023,Brazil,False
GarrafeiraSoares,Mateus Sparkling Rosé,1944,0.5,6.0455,Koruna,9/16/2023,USA,True
Continente Online,Casa Ferreirinha Papa Figos Branco,1947,0.5,4.4712,Rupiah,6/11/2023,Portugal,False
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1926,1.0,8.488,Koruna,8/15/2023,Brazil,True
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1972,1.0,9.1613,Yuan Renminbi,10/20/2023,Brazil,True
Continente Online,Mateus Rosé Original,1953,0.75,0.7429000000000001,Hryvnia,7/2/2023,Brazil,True
GarrafeiraSoares,Mateus Rosé Original,2002,0.5,6.534299999999999,Peso,3/25/2023,Brazil,True
Supermercado El Corte Ingles,Mateus Rosé Original,1988,0.75,0.5952000000000001,Euro,4/4/2023,Brazil,False
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1966,0.5,0.23579999999999998,Krona,5/26/2023,Portugal,True
Supermercado El Corte Ingles,Casa Ferreirinha Papa Figos Branco,1974,0.5,6.9971000000000005,Real,8/17/2023,USA,True
Continente Online,Mateus Rosé Original,1989,0.75,0.2112,Yuan Renminbi,3/8/2023,USA,True
Supermercado El Corte Ingles,Mateus Rosé Original,1904,0.5,5.6332,Marka,12/16/2022,Brazil,False
Supermercado El Corte Ingles,Mateus Sparkling Rosé,2001,0.75,4.731,Euro,4/28/2023,USA,True
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1941,0.5,0.6148,Rupiah,9/17/2023,Brazil,True
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1952,0.75,1.2838,Kwacha,1/9/2023,Brazil,False
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1986,1.0,8.2784,Yuan Renminbi,7/15/2023,Brazil,True
GarrafeiraSoares,Mateus Rosé Original,2019,0.5,0.8819,Peso,3/13/2023,Portugal,False
GarrafeiraSoares,Casa Ferreirinha Papa Figos Branco,1934,1.0,7.8706,Euro,1/10/2023,Portugal,False
GarrafeiraSoares,Mateus Sparkling Rosé,1947,1.0,8.8023,Peso,2/7/2023,Brazil,False
GarrafeiraSoares,Mateus Sparkling Rosé,1900,0.5,6.781499999999999,Rupiah,9/8/2023,Brazil,False
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1958,0.5,2.8887,Won,12/25/2022,Portugal,True
Supermercado El Corte Ingles,Mateus Sparkling Rosé,1933,0.5,5.0923,Franc,7/14/2023,USA,True
GarrafeiraSoares,Mateus Sparkling Rosé,1966,1.0,8.3522,Rupee,6/4/2023,Portugal,False
Continente Online,Mateus Sparkling Rosé,1991,1.0,2.4078999999999997,Euro,6/7/2023,USA,True
Supermercado El Corte Ingles,Mateus Rosé Original,1922,1.0,2.5180000000000002,Zloty,4/16/2023,USA,True
Continente Online,Mateus Rosé Original,1951,1.0,9.8312,Dollar,1/7/2023,Brazil,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1928,0.5,8.7943,Rupiah,1/17/2023,Brazil,False
Supermercado El Corte Ingles,Herdade do Peso Trinca Bolotas Tinto,1937,1.0,6.8101,Euro,6/13/2023,Portugal,False
Continente Online,Mateus Rosé Original,2003,0.75,1.4008,Dollar,10/2/2023,Portugal,True
Supermercado El Corte Ingles,Mateus Rosé Original,2006,1.0,8.4212,Kwacha,1/2/2023,Portugal,False
GarrafeiraSoares,Herdade do Peso Trinca Bolotas Tinto,1929,0.5,4.6582,Peso,8/29/2023,Brazil,True
Continente Online,Mateus Sparkling Rosé,1977,0.75,8.9588,Yuan Renminbi,11/7/2022,USA,False
Continente Online,Herdade do Peso Trinca Bolotas Tinto,1996,0.75,6.3487,Rand,3/15/2023,Brazil,True
GarrafeiraSoares,Mateus Sparkling Rosé,1972,0.5,3.8577999999999997,Won,3/15/2023,Portugal,True
Continente Online,Mateus Rosé Original,1906,0.75,2.5185,Bolivar,4/15/2023,USA,False
